name	x	y	z
F3	0.074893911	-0.053407469	0.078441998
F4	0.076236075	0.051473455	0.078441998
Fz	0.086507295	-0.001107036	0.103600246
C3	0.01230257	-0.069069741	0.108052942
C4	0.014066027	0.068732301	0.108052942
Cz	0.01987742	-0.000254372	0.144172294
O1	-0.093674095	-0.028256052	0.058115129
Oz	-0.095993115	0.00122842600000006	0.064901158
Pz	-0.054939122	0.000703057000000011	0.131888502
O2	-0.092920351	0.030643906	0.058115129
E1-M1	n/a	n/a	n/a
E2-M2	n/a	n/a	n/a
Chin 1-Chin 2	n/a	n/a	n/a
ECG	n/a	n/a	n/a
Snore	n/a	n/a	n/a
Nasal Pressure	n/a	n/a	n/a
Therm	n/a	n/a	n/a
Abdo	n/a	n/a	n/a
Sum	n/a	n/a	n/a
Oz	-0.095993115	0.00122842600000006	0.064901158
E2	n/a	n/a	n/a
